tinyId,permissibleValue,valueMeaningDefinition,conceptId,conceptSource,valueMeaningName,codeSystemName,valueMeaningCode,codeSystemVersion
7y_3_MOap8,5,5,NA,NA,5,NA,NA,NA
7y_DCbdaa8,5,5,NA,NA,5,NA,NA,NA
7y_e_nqonoe,3,NA,NA,NA,3,3,3,NA
7y_eA89ohoe,3,NA,NA,NA,3,3,3,NA
7y_gp_OTT8,5,5,NA,NA,5,NA,NA,NA
7y_ij9snjg,12,NA,NA,NA,12,12,12,NA
7y_lt8qihig,4,NA,NA,NA,4,4,4,NA
7y_nBboTT8,23,23,NA,NA,23,NA,NA,NA
7y_Tyw_p6L,2,2,NA,NA,2,NA,NA,NA
7y_V_ouT6U,5,5,NA,NA,5,NA,NA,NA
7y_wHfdTTL,5,5,NA,NA,5,NA,NA,NA
7y_WqU5s3sl,4,NA,NA,NA,4,4,4,NA
7y_ylUE9iHR,2,2,NA,NA,2,NA,NA,NA
7y07z_T6U,5,5,NA,NA,5,NA,NA,NA
7y0gxvqinsx,4,NA,NA,NA,4,4,4,NA
7y0NaI5C5X,7,7,NA,NA,7,NA,NA,NA
7y0ueOyOhkml,5,NA,NA,NA,5,5,5,NA
7y1lyubb3Og,5,5,NA,NA,5,NA,NA,NA
7y20NN9orC,2,2,NA,NA,2,NA,NA,NA
7y2fNGLlX,4,NA,NA,NA,4,NA,NA,NA
7y2gJo9i3ig,5,NA,NA,NA,5,5,5,NA
7y2j5onig,40,NA,NA,NA,40,40,40,NA
7y2LN9ye7,11,NA,NA,NA,11,NA,NA,NA
7y2xRj5j3ol,2,NA,NA,NA,2,2,2,NA
7y3DDdmJJx,34,34,34,34,34,34,34,NA
7y3xqJdnyXx,6,NA,NA,NA,6,5,5,NA
7y3xxE4qorR,2,2,NA,NA,2,NA,NA,NA
7y4_uIXlBRz,2,2,NA,NA,2,NA,NA,NA
7y4F59ohix,4,NA,NA,NA,4,4,4,NA
7y4iVFX1Jx,5,5,5,5,5,5,5,NA
7y4LOYpTU,3,3,NA,NA,3,NA,NA,NA
7y4QlWV9oHR,4,4,NA,NA,4,NA,NA,NA
7y5sZdWWh_g,5,5,NA,NA,5,NA,NA,NA
7y5Vg_5R9m,2,2,NA,NA,2,NA,NA,NA
7y5Xe_kunJQl,5,NA,NA,NA,5,5,5,NA
7y5xY5ci3il,2,NA,NA,NA,2,2,2,NA
7y6e_qiXZ1M,7,NA,NA,NA,7,7,7,NA
7y6Fguku3J7l,5,NA,NA,NA,5,5,5,NA
7y6G0gm5C5X,5,5,NA,NA,5,NA,NA,NA
7y6gzw5o2jl,5,NA,NA,NA,5,5,5,NA
7y6Qnci3il,2,NA,NA,NA,2,2,2,NA
7y6TetyO3Jme,5,NA,NA,NA,5,5,5,NA
7y6x3oqjnsl,4,NA,NA,NA,4,4,4,NA
7y76Y1d317x,5,NA,NA,NA,5,5,5,NA
7y7b_dkd2J7l,5,NA,NA,NA,5,5,5,NA
7y7bIu5inoe,6,NA,NA,NA,6,6,6,NA
7y7ePYci3sx,3,NA,NA,NA,3,3,3,NA
7y7eQgdqRq7,2,2,NA,NA,2,NA,NA,NA
7y7gcL7eHCz,7,7,NA,NA,7,NA,NA,NA
7y7gV9qi2il,4,NA,NA,NA,4,4,4,NA
7y7lI0mcR5Q,4,4,NA,NA,4,NA,NA,NA
7y7Lz_6p8,5,5,NA,NA,5,NA,NA,NA
7y7ngewbb2_l,2,2,NA,NA,2,NA,NA,NA
7y7SosGoE,3,NA,NA,NA,3,NA,NA,NA
7y7XguqCcX,5,5,NA,NA,5,NA,NA,NA
7y7xTIci2jx,2,NA,NA,NA,2,2,2,NA
7y7xzup6L,5,5,NA,NA,5,NA,NA,NA
7y87geNcjBA,4,4,NA,NA,4,NA,NA,NA
7y8bwFconig,3,NA,NA,NA,3,3,3,NA
7y8CF_bZndl,5,5,NA,NA,5,NA,NA,NA
7y8Ebt1d3JQx,5,NA,NA,NA,5,5,5,NA
7y8eGs9o3ig,3,NA,NA,NA,3,3,3,NA
7y8EQ_paU,5,5,NA,NA,5,NA,NA,NA
7y8gdkO3JQl,5,NA,NA,NA,5,5,5,NA
7y8jd1u2yQe,5,NA,NA,NA,5,5,5,NA
7y8kfBm1Jl,7,7,4,4,7,4,4,NA
7y8KvYaa8,2,2,NA,NA,2,NA,NA,NA
7y8M9caAQ7,6,NA,NA,NA,6,NA,NA,NA
7y8Q5Gn8ryD,13,NA,NA,NA,13,NA,NA,NA
7y8x7nHXkyl,9,9,9,9,9,9,9,NA
7y9euccs3jx,4,NA,NA,NA,4,4,4,NA
7y9qdszo4,3,NA,NA,NA,3,NA,NA,NA
7y9xI9cj3jl,4,NA,NA,NA,4,4,4,NA
7y9xWTIqA9X,5,5,NA,NA,5,NA,NA,NA
7yA4g_OZb2ul,5,5,NA,NA,5,NA,NA,NA
7yAgPJ_2kml,5,NA,NA,NA,5,5,5,NA
7yAhj9jnse,4,NA,NA,NA,4,4,4,NA
7yaJdW_hue,5,5,NA,NA,5,NA,NA,NA
7yAlAFqsnjl,4,NA,NA,NA,4,4,4,NA
7yalWv9i2sx,7,NA,NA,NA,7,7,7,NA
7yAmI49oHC,3,3,NA,NA,3,NA,NA,NA
7yAORIbZnue,5,5,NA,NA,5,NA,NA,NA
7yAuq9s2jx,4,NA,NA,NA,4,4,4,NA
7yaX_5shix,3,NA,NA,NA,3,3,3,NA
7yays7zgQ,4,NA,NA,NA,4,NA,NA,NA
7yazwYT6L,3,3,NA,NA,3,NA,NA,NA
7yB_O1unyml,5,NA,NA,NA,5,5,5,NA
7yb_Rscinil,2,NA,NA,NA,2,2,2,NA
7yb_tMdpp8,5,5,NA,NA,5,NA,NA,NA
7yb0O__2ue,5,5,NA,NA,5,NA,NA,NA
7yB3_PWWn_e,5,5,NA,NA,5,NA,NA,NA
7yB7ZFJOnkmg,5,NA,NA,NA,5,5,5,NA
7yb8lM_paI,5,5,NA,NA,5,NA,NA,NA
7yBehn5jhox,5,NA,NA,NA,5,5,5,NA
7ybEwJKp6L,4,4,NA,NA,4,NA,NA,NA
7ybFD96C77,5,NA,NA,NA,5,5,5,NA
7ybgCbi6aL,16,16,NA,NA,16,NA,NA,NA
7yBgIPci2ox,4,NA,NA,NA,4,4,4,NA
7yBGPHlseq_,4,4,NA,NA,4,NA,NA,NA
7ybgTGuapL,5,5,NA,NA,5,NA,NA,NA
7ybkAYt668,5,5,NA,NA,5,NA,NA,NA
7yBKwqpRm7,5,NA,NA,NA,5,NA,NA,NA
7ybmSC9TTU,7,7,NA,NA,7,NA,NA,NA
7ybnD_oaTI,2,2,NA,NA,2,NA,NA,NA
7ybOQ_tTTI,5,5,NA,NA,5,NA,NA,NA
7ybWzq5jhje,2,NA,NA,NA,2,2,2,NA
7ybx_ku2kXg,6,NA,NA,NA,6,5,5,NA
7yC_vE9oBC,2,2,NA,NA,2,NA,NA,NA
7yC3IFaT8,16,16,NA,NA,16,NA,NA,NA
7yc5vq6Am7,5,NA,NA,NA,5,NA,NA,NA
7yCeoMhLSyw,3,NA,NA,NA,3,NA,NA,NA
7ycfxukdhJQx,5,NA,NA,NA,5,5,5,NA
7ycGl__WW2ux,5,5,NA,NA,5,NA,NA,NA
7ycKqcihsg,4,NA,NA,NA,4,4,4,NA
7yCl0U9inog,3,NA,NA,NA,3,3,3,NA
7ycncjhix,4,NA,NA,NA,4,4,4,NA
7yCo9Dq0cm,3,3,NA,NA,3,NA,NA,NA
7yCSlGV5orA,13,13,NA,NA,13,NA,NA,NA
7ycvtydn1Qx,5,NA,NA,NA,5,5,5,NA
7yD_oUXerRz,2,2,NA,NA,2,NA,NA,NA
7yd5kOhJQx,6,NA,NA,NA,6,5,5,NA
7ydesqco2ix,2,NA,NA,NA,2,2,2,NA
7yDgYP9s2jx,3,NA,NA,NA,3,3,3,NA
7ydJl_1u2JXx,5,NA,NA,NA,5,5,5,NA
7yDlC85ohoe,3,NA,NA,NA,3,3,3,NA
7ydrKku3yXg,5,NA,NA,NA,5,5,5,NA
7yDUlKJ_hkmg,5,NA,NA,NA,5,5,5,NA
7yDzw1_n1mx,5,NA,NA,NA,5,5,5,NA
7ye_OQxB0f,2,2,NA,NA,2,NA,NA,NA
7ye0RvKaTL,3,3,NA,NA,3,NA,NA,NA
7ye1Oq6CX7,5,NA,NA,NA,5,NA,NA,NA
7ye1sXsaaL,2,2,NA,NA,2,NA,NA,NA
7ye4eN4coHA,2,2,NA,NA,2,NA,NA,NA
7ye8o9i2ig,3,NA,NA,NA,3,3,3,NA
7yEA_9pRmX,5,NA,NA,NA,5,NA,NA,NA
7yEbKcp0mQ,5,NA,NA,NA,5,NA,NA,NA
7yECeKJu2y7g,5,NA,NA,NA,5,5,5,NA
7yeDDK6aL,4,4,NA,NA,4,NA,NA,NA
7yeG_ZZ3_x,5,5,NA,NA,5,NA,NA,NA
7yeG38FaT8,2,2,NA,NA,2,NA,NA,NA
7yEgxKJd2yQe,5,NA,NA,NA,5,5,5,NA
7yEJhqi2sg,2,NA,NA,NA,2,2,2,NA
7yejliKTpL,5,5,NA,NA,5,NA,NA,NA
7yekb75Cqm,5,5,NA,NA,5,NA,NA,NA
7yelGd5s2ie,4,NA,NA,NA,4,4,4,NA
7yelpI2Qykl,7,7,4,4,7,4,4,NA
7yEMqvlSCM,3,3,NA,NA,3,NA,NA,NA
7yeMWFtp68,2,2,NA,NA,2,NA,NA,NA
7yePIQeHRf,2,2,NA,NA,2,NA,NA,NA
7yEpNsaTI,5,5,NA,NA,5,NA,NA,NA
7yeQ8m_6a8,5,5,NA,NA,5,NA,NA,NA
7yErlkwZW3_l,5,5,NA,NA,5,NA,NA,NA
7yeUXdTTI,5,5,NA,NA,5,NA,NA,NA
7yEW_Ykdnkmg,5,NA,NA,NA,5,5,5,NA
7yexy9co3ol,6,NA,NA,NA,6,6,6,NA
7yExZh5s2sg,3,NA,NA,NA,3,3,3,NA
7yezmeXcCc7,7,7,NA,NA,7,NA,NA,NA
7yeZTU7gBCG,11,11,NA,NA,11,NA,NA,NA
7yf_CvKTpL,6,6,NA,NA,6,NA,NA,NA
7yF_dku2yQx,5,NA,NA,NA,5,5,5,NA
7yF_eP9jhsl,4,NA,NA,NA,4,4,4,NA
7yf1h_ca6I,3,3,NA,NA,3,NA,NA,NA
7yf4dzdapU,6,6,NA,NA,6,NA,NA,NA
7yfaKJd2y7x,5,NA,NA,NA,5,5,5,NA
7yfb6_ua68,5,5,NA,NA,5,NA,NA,NA
7yFBpHMl7,6,NA,NA,NA,6,NA,NA,NA
7yfdcqs2ol,4,NA,NA,NA,4,4,4,NA
7yfebnEqC9X,5,5,NA,NA,5,NA,NA,NA
7yfee39onig,5,NA,NA,NA,5,5,5,NA
7yFeG35o3ix,3,NA,NA,NA,3,3,3,NA
7yfeWK1unJQe,5,NA,NA,NA,5,5,5,NA
7yFmlE49oBR,2,2,NA,NA,2,NA,NA,NA
7yFO9p0Qm,5,NA,NA,NA,5,5,5,NA
7yFrOkO31Xx,5,NA,NA,NA,5,5,5,NA
7yFulKJOhJQg,5,NA,NA,NA,5,5,5,NA
7yFVv5onie,5,NA,NA,NA,5,5,5,NA
7yfxtL5jnix,3,NA,NA,NA,3,3,3,NA
7yFyD7gSCf,6,6,NA,NA,6,NA,NA,NA
7yG_Lv5jnie,5,NA,NA,NA,5,5,5,NA
7yg_nLFapL,4,4,NA,NA,4,NA,NA,NA
7yg_XfOTTL,5,5,NA,NA,5,NA,NA,NA
7yg8VQuapU,5,5,NA,NA,5,NA,NA,NA
7ygAKKm8QI,3,NA,NA,NA,3,3,3,NA
7ygAtJu2yQe,5,NA,NA,NA,5,5,5,NA
7yGavViTaI,5,5,NA,NA,5,NA,NA,NA
7ygB3__6aU,5,5,NA,NA,5,NA,NA,NA
7yGbyi9ihje,3,NA,NA,NA,3,3,3,NA
7yGesRu6p8,2,2,NA,NA,2,NA,NA,NA
7yGFluqCq7,2,2,NA,NA,2,NA,NA,NA
7yggi3qonjl,2,NA,NA,NA,2,2,2,NA
7yGh5EoaT8,5,5,NA,NA,5,NA,NA,NA
7ygLUm_66I,5,5,NA,NA,5,NA,NA,NA
7yglYq9shjl,7,NA,NA,NA,7,7,7,NA
7yGozo9T68,2,2,NA,NA,2,NA,NA,NA
7ygU5Ju2y7e,5,NA,NA,NA,5,5,5,NA
7yGUCZuT68,5,5,NA,NA,5,NA,NA,NA
7ygUd7eHAz,2,2,NA,NA,2,NA,NA,NA
7yGUO5i3jg,11,NA,NA,NA,11,11,11,NA
7ygUOqs2oe,5,NA,NA,NA,5,5,5,NA
7ygv_ifjV,11,NA,NA,NA,11,NA,NA,NA
7yGV_jzs4,5,NA,NA,NA,5,NA,NA,NA
7yGWLEqoB0,2,2,NA,NA,2,NA,NA,NA
7ygxuJd2yXg,6,NA,NA,NA,6,5,5,NA
7ygzcvxBCM,3,3,NA,NA,3,NA,NA,NA
7yh3edJOhymg,5,NA,NA,NA,5,5,5,NA
7yh6_cinie,3,NA,NA,NA,3,3,3,NA
7yH9Pcjhol,5,NA,NA,NA,5,5,5,NA
7yhC8v_Zhdx,5,5,NA,NA,5,NA,NA,NA
7yHE_Jd2kQe,5,NA,NA,NA,5,5,5,NA
7yHeZFkO31ml,5,NA,NA,NA,5,5,5,NA
7yhgeRvbZ2_e,5,5,NA,NA,5,NA,NA,NA
7yhgrn9jnig,3,NA,NA,NA,3,3,3,NA
7yhkGiT6U,2,2,NA,NA,2,NA,NA,NA
7yHV_cpR7X,5,NA,NA,NA,5,NA,NA,NA
7yHW5I7eB0M,6,6,NA,NA,6,NA,NA,NA
7yhx3QwqC9X,3,3,NA,NA,3,NA,NA,NA
7yhy5qs2jx,3,NA,NA,NA,3,3,3,NA
7yhyj9onig,5,NA,NA,NA,5,5,5,NA
7yHZfc5i2jg,2,NA,NA,NA,2,2,2,NA
7yI_gOqRcQ,2,2,NA,NA,2,NA,NA,NA
7yI0a5apL,5,5,NA,NA,5,NA,NA,NA
7yI1u9s2jl,3,NA,NA,NA,3,3,3,NA
7yi4AuZWnul,5,5,NA,NA,5,NA,NA,NA
7yi8q9ihjx,6,NA,NA,NA,6,6,6,NA
7yiCUqs2se,5,NA,NA,NA,5,5,5,NA
7yIgbKk_hkXe,5,NA,NA,NA,5,5,5,NA
7yIHD9jhix,4,NA,NA,NA,4,4,4,NA
7yii9OWZhug,5,5,NA,NA,5,NA,NA,NA
7yiiJeU3QM,10,NA,NA,NA,10,10,10,NA
7yiKJuh1Qg,5,NA,NA,NA,5,5,5,NA
7yipbua6L,5,5,NA,NA,5,NA,NA,NA
7yix_zLem,5,NA,NA,NA,5,NA,NA,NA
7yIXWt1unkXg,5,NA,NA,NA,5,5,5,NA
7yiyeRDWWhul,5,5,NA,NA,5,NA,NA,NA
7yJ_j25o3ix,5,NA,NA,NA,5,5,5,NA
7yJeRFqi2ox,4,NA,NA,NA,4,4,4,NA
7yJIYJdnJXx,5,NA,NA,NA,5,5,5,NA
7yjlCU5onig,3,NA,NA,NA,3,3,3,NA
7yjtfu66I,5,5,NA,NA,5,NA,NA,NA
7yK_9cs2je,4,NA,NA,NA,4,4,4,NA
7ykaGoTaU,3,3,NA,NA,3,NA,NA,NA
7yKbQK7xrRz,5,5,NA,NA,5,NA,NA,NA
7yKDZ_90cX,3,3,NA,NA,3,NA,NA,NA
7yKgT85o2ig,3,NA,NA,NA,3,3,3,NA
7ykgus5j2jl,3,NA,NA,NA,3,3,3,NA
7yKKet1dhJXl,5,NA,NA,NA,5,5,5,NA
7yKLjcj2ol,3,NA,NA,NA,3,3,3,NA
7ykqHX8e7,5,NA,NA,NA,5,NA,NA,NA
7yKqJOhkml,6,NA,NA,NA,6,5,5,NA
7yKQlQ9R9Q,6,6,NA,NA,6,NA,NA,NA
7yKRe45oHC,9,9,NA,NA,9,NA,NA,NA
7yKSLQlSRM,2,2,NA,NA,2,NA,NA,NA
7yKvP9o3og,2,NA,NA,NA,2,2,2,NA
7yl_jKcshsg,14,NA,NA,NA,14,14,14,NA
7yl_rwYaTI,3,3,NA,NA,3,NA,NA,NA
7yL_ZoTpI,2,2,NA,NA,2,NA,NA,NA
7yL3kO5Cq7,5,5,NA,NA,5,NA,NA,NA
7yl4OofjN,3,NA,NA,NA,3,NA,NA,NA
7ylaOcinie,4,NA,NA,NA,4,4,4,NA
7ylFSvYTpU,4,4,NA,NA,4,NA,NA,NA
7yLg5kOnk7e,6,NA,NA,NA,6,5,5,NA
7ylG68cA9X,5,5,NA,NA,5,NA,NA,NA
7yLggqqs2sl,2,NA,NA,NA,2,2,2,NA
7ylgvJ_3JQl,5,NA,NA,NA,5,5,5,NA
7ylGWYJu3Jml,5,NA,NA,NA,5,5,5,NA
7ylHnIj6TI,3,3,NA,NA,3,NA,NA,NA
7yLibObW2_x,5,5,NA,NA,5,NA,NA,NA
7ylJtq6AXQ,5,NA,NA,NA,5,NA,NA,NA
7ylKRWu66I,5,5,NA,NA,5,NA,NA,NA
7yLl6jqsnox,4,NA,NA,NA,4,4,4,NA
7ylLj4iT6U,5,5,NA,NA,5,NA,NA,NA
7yllucQn,6,6,NA,NA,6,NA,NA,NA
7ylm9H9ZrI,2,NA,NA,NA,2,2,2,NA
7yLnqrXJkl,5,5,5,5,5,5,5,NA
7yLOKF6TL,3,3,NA,NA,3,NA,NA,NA
7ylPI49iS0,3,3,NA,NA,3,NA,NA,NA
7yLQWeXcR57,2,2,NA,NA,2,NA,NA,NA
7ylqXfup6L,5,5,NA,NA,5,NA,NA,NA
7ylRxYYa68,2,2,NA,NA,2,NA,NA,NA
7ylsSPKaTU,4,4,NA,NA,4,NA,NA,NA
7ylv34oap8,5,5,NA,NA,5,NA,NA,NA
7ylvo5i3jl,2,NA,NA,NA,2,2,2,NA
7ylXnbd6T8,5,5,NA,NA,5,NA,NA,NA
7yLYiqo3ix,2,NA,NA,NA,2,2,2,NA
7yM_apqap8,5,5,NA,NA,5,NA,NA,NA
7ym_qcohil,4,NA,NA,NA,4,4,4,NA
7ym4euqCqQ,2,2,NA,NA,2,NA,NA,NA
7yM4KqpAXX,5,NA,NA,NA,5,NA,NA,NA
7yM4Lz_aaI,5,5,NA,NA,5,NA,NA,NA
7ym4Yku3JQx,5,NA,NA,NA,5,5,5,NA
7yMC_zu6pU,5,5,NA,NA,5,NA,NA,NA
7yMdgPEcjSR,10,10,NA,NA,10,NA,NA,NA
7yMe_s_TaI,6,6,NA,NA,6,NA,NA,NA
7ymFP5TRmm,5,NA,NA,NA,5,NA,NA,NA
7ymhbdc0qQ,7,7,NA,NA,7,NA,NA,NA
7ymi6EMlm,6,NA,NA,NA,6,NA,NA,NA
7yMiL7eSRM,6,6,NA,NA,6,NA,NA,NA
7yMJYNi668,5,5,NA,NA,5,NA,NA,NA
7yml5RuRsHz,3,NA,NA,NA,3,3,3,NA
7ymrccj3sx,3,NA,NA,NA,3,3,3,NA
7ymTOk_nJ7l,5,NA,NA,NA,5,5,5,NA
7yMvJ_3Jme,5,NA,NA,NA,5,5,5,NA
7ymx5Z_qCcm,8,8,NA,NA,8,NA,NA,NA
7ymxuwcs2sg,5,NA,NA,NA,5,5,5,NA
7yMz6VoTaU,5,5,NA,NA,5,NA,NA,NA
7yMZvqs2je,2,NA,NA,NA,2,2,2,NA
7yN9co3jg,3,NA,NA,NA,3,3,3,NA
7ynf9yu31Ql,5,NA,NA,NA,5,5,5,NA
7yngzP5onsg,5,NA,NA,NA,5,5,5,NA
7yNJoca6I,8,8,NA,NA,8,NA,NA,NA
7yNJPmxrAG,6,6,NA,NA,6,NA,NA,NA
7yNQ_lQc09X,5,5,NA,NA,5,NA,NA,NA
7yNSvEcjBC,3,3,NA,NA,3,NA,NA,NA
7yNTFqa0Qm,5,NA,NA,NA,5,NA,NA,NA
7yNV84cjHA,3,3,NA,NA,3,NA,NA,NA
7ynwUg7kJe,3,3,3,3,3,3,3,NA
7ynxuumxHAz,2,2,NA,NA,2,NA,NA,NA
7yO3n5snol,2,NA,NA,NA,2,2,2,NA
7yo4dVqoS0,2,2,NA,NA,2,NA,NA,NA
7yO9DqaAQ7,5,NA,NA,NA,5,NA,NA,NA
7yoAeO1u2y7e,5,NA,NA,NA,5,5,5,NA
7yOecoqj3jx,2,NA,NA,NA,2,2,2,NA
7yoeuxu90cQ,1,1,NA,NA,1,NA,NA,NA
7yog3o5s2ol,4,NA,NA,NA,4,4,4,NA
7yOlLRm9AcQ,2,2,NA,NA,2,NA,NA,NA
7yOmzuT6U,5,5,NA,NA,5,NA,NA,NA
7yoOJ__Znug,5,5,NA,NA,5,NA,NA,NA
7yox_co2sx,5,NA,NA,NA,5,5,5,NA
7yoxjh9i2oe,2,NA,NA,NA,2,2,2,NA
7yP8PtppI,3,3,NA,NA,3,NA,NA,NA
7yPfjMhLSkD,3,NA,NA,NA,3,NA,NA,NA
7yPfPYaT8,2,2,NA,NA,2,NA,NA,NA
7ypGcDlS0z,3,3,NA,NA,3,NA,NA,NA
7yPhGj6pL,22,22,NA,NA,22,NA,NA,NA
7yPisqsnjx,2,NA,NA,NA,2,2,2,NA
7ypL_k_hkmx,5,NA,NA,NA,5,5,5,NA
7yplYu7lSAM,2,2,NA,NA,2,NA,NA,NA
7ypndcTR7m,5,NA,NA,NA,5,5,5,NA
7yPOxYkO3kQl,5,NA,NA,NA,5,5,5,NA
7yPPwcinsl,4,NA,NA,NA,4,4,4,NA
7yPuJSfxX,6,NA,NA,NA,6,NA,NA,NA
7yq_Xdp6U,5,5,NA,NA,5,NA,NA,NA
7Yq3dPlJp,3,NA,NA,NA,3,3,3,NA
7yq4s5s2il,9,NA,NA,NA,9,9,9,NA
7yQAYOWWnOe,5,5,NA,NA,5,NA,NA,NA
7yqeedyO3kXl,5,NA,NA,NA,5,5,5,NA
7yqgvUmxBAz,6,6,NA,NA,6,NA,NA,NA
7yqHuiMj4,2,NA,NA,NA,2,NA,NA,NA
7yQkPia6U,2,2,NA,NA,2,NA,NA,NA
7yQNgbuZWnOe,5,5,NA,NA,5,NA,NA,NA
7yqouk_2kQl,5,NA,NA,NA,5,1,1,NA
7yQQZOJunyXx,5,NA,NA,NA,5,5,5,NA
7yQwF_bWhul,5,5,NA,NA,5,NA,NA,NA
7yQxPscs3ol,4,NA,NA,NA,4,4,4,NA
7yRAvK6a8,4,4,NA,NA,4,NA,NA,NA
7yReUd9onie,6,NA,NA,NA,6,6,6,NA
7yRgT1g83Qf,5,NA,NA,NA,5,5,5,NA
7yRiZu5CqX,3,3,NA,NA,3,NA,NA,NA
7yrl59a0Qm,5,NA,NA,NA,5,NA,NA,NA
7yrLF9i3jg,3,NA,NA,NA,3,3,3,NA
7yrMmuTTU,5,5,NA,NA,5,NA,NA,NA
7yrQ9k_2kml,5,NA,NA,NA,5,5,5,NA
7yrtldk_hJXl,5,NA,NA,NA,5,5,5,NA
7yrWl_1uh1Qe,5,NA,NA,NA,5,NA,NA,NA
7yRWUumcRc7,3,3,NA,NA,3,NA,NA,NA
7yrWWOkOnJXg,5,NA,NA,NA,5,5,5,NA
7yRZ5PgrAG,3,3,NA,NA,3,NA,NA,NA
7ys0ccs2jl,4,NA,NA,NA,4,4,4,NA
7ys9L9s2il,6,NA,NA,NA,6,6,6,NA
7ysgGccihsg,2,NA,NA,NA,2,2,2,NA
7ySi59o3jx,2,NA,NA,NA,2,2,2,NA
7ysLF5i3jg,7,NA,NA,NA,7,7,7,NA
7ysxBh5j3og,3,NA,NA,NA,3,3,3,NA
7yT1gAP_W3de,5,5,NA,NA,5,NA,NA,NA
7yT3dkunkQg,5,NA,NA,NA,5,5,5,NA
7yt5qshsg,4,NA,NA,NA,4,4,4,NA
7yt87_T6U,5,5,NA,NA,5,NA,NA,NA
7yTeG9cj2jg,2,NA,NA,NA,2,2,2,NA
7yTgS25ohjl,3,NA,NA,NA,3,3,3,NA
7ytKO1_hyXx,5,NA,NA,NA,5,5,5,NA
7yTMaJxU37z,16,14,NA,NA,16,16,16,NA
7ytNr0rVI,3,NA,NA,NA,3,3,3,3
7yTPt5ihsl,3,NA,NA,NA,3,3,3,NA
7ytqP9pRmm,5,NA,NA,NA,5,NA,NA,NA
7yTsIiT6L,3,3,NA,NA,3,NA,NA,NA
7yTUY5i2je,8,NA,NA,NA,8,8,8,NA
7yTXocs2sl,2,NA,NA,NA,2,2,2,NA
7yTYIcohie,2,NA,NA,NA,2,2,2,NA
7yUCGOTpU,5,5,NA,NA,5,NA,NA,NA
7yUDw07yke,2,2,2,2,2,2,2,NA
7yuK_qs2ol,4,NA,NA,NA,4,4,4,NA
7yULFjfiE,3,NA,NA,NA,3,NA,NA,NA
7yUlI25jnig,3,NA,NA,NA,3,3,3,NA
7yUuwqshoe,5,NA,NA,NA,5,5,5,NA
7yUWId5snsg,6,NA,NA,NA,6,6,6,NA
7yUx3P5s3ie,5,NA,NA,NA,5,5,5,NA
7yUx589o2ox,2,NA,NA,NA,2,2,2,NA
7yuxjn5snig,2,NA,NA,NA,2,2,2,NA
7yuxq_L90qQ,2,2,NA,NA,2,NA,NA,NA
7yvBeVE5jrC,2,2,NA,NA,2,NA,NA,NA
7yVe9qohsg,4,NA,NA,NA,4,4,4,NA
7yVeHdci2sg,5,NA,NA,NA,5,5,5,NA
7yVFU5ihsg,12,NA,NA,NA,12,12,12,NA
7yVHZ_9Rc7,3,3,NA,NA,3,NA,NA,NA
7yVJqF6T8,3,3,NA,NA,3,NA,NA,NA
7yVld9qj2og,4,NA,NA,NA,4,4,4,NA
7yVlDyO3yQl,5,NA,NA,NA,5,5,5,NA
7yvPgdyO2JQe,5,NA,NA,NA,5,NA,NA,NA
7yVxnqco2il,7,NA,NA,NA,7,7,7,NA
7yVZ085i3oe,6,NA,NA,NA,6,6,6,NA
7yW_xQda68,5,5,NA,NA,5,NA,NA,NA
7yW2xoF66U,5,5,NA,NA,5,NA,NA,NA
7yw7o5i2ol,2,NA,NA,NA,2,2,2,NA
7yW8DkYTT8,2,2,NA,NA,2,NA,NA,NA
7yW8KWipaL,2,2,NA,NA,2,NA,NA,NA
7yWCs9onjg,5,NA,NA,NA,5,5,5,NA
7yWe1u5shsg,4,NA,NA,NA,4,4,4,NA
7yWegv5j2jx,3,NA,NA,NA,3,3,3,NA
7ywg_y_2yme,5,NA,NA,NA,5,5,5,NA
7ywgq59j3oe,2,NA,NA,NA,2,2,2,NA
7ywiKozsE,3,NA,NA,NA,3,NA,NA,NA
7yWJ2qj2ix,2,NA,NA,NA,2,2,2,NA
7yWMJvsTpL,2,2,NA,NA,2,NA,NA,NA
7yWMrPtpTI,3,3,NA,NA,3,NA,NA,NA
7yWo3YMLJ7,4,NA,NA,NA,4,4,4,NA
7yWP8mxHCG,2,2,NA,NA,2,NA,NA,NA
7yWPcMOapU,5,5,NA,NA,5,NA,NA,NA
7ywqkuZb3Og,3,3,NA,NA,3,NA,NA,NA
7ywWF1OnyQe,5,NA,NA,NA,5,5,5,NA
7yWyRZdaTL,5,5,NA,NA,5,NA,NA,NA
7ywZ_V9orA,1,1,NA,NA,1,NA,NA,NA
7yWZBXsYz_,4,NA,NA,NA,4,4,4,NA
7yx05mj6pU,2,2,NA,NA,2,NA,NA,NA
7yx0nEjaTU,5,5,NA,NA,5,NA,NA,NA
7yx72ItppU,6,6,NA,NA,6,NA,NA,NA
7yXbiD9o3se,4,NA,NA,NA,4,4,4,NA
7yxCkfj6TL,2,2,NA,NA,2,NA,NA,NA
7yxdczO66I,5,5,NA,NA,5,NA,NA,NA
7yXdfnUS1D,3,NA,NA,NA,3,NA,NA,NA
7yxds5onsx,2,NA,NA,NA,2,2,2,NA
7YXEhCdRxQh,16,16,NA,NA,16,NA,NA,NA
7yXeihconix,2,NA,NA,NA,2,2,2,NA
7yXEucpCmX,5,NA,NA,NA,5,NA,NA,NA
